ID	NAME	EQUATION	GENE ASSOCIATION	subsystem_unique_@2021_12
r_2277	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-9-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-hexadec-9-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-hexadec-9-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2278	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-7-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-tetradec-7-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-tetradec-7-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2279	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-dodec-5-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-dodec-5-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-dodec-5-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2280	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-octadec-9-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-octadec-9-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-octadec-9-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2281	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-7-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-hexadec-7-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-hexadec-7-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2282	3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-5-enoyl-CoA)	NAD[p] + (R)-3-hydroxy-cis-tetradec-5-enoyl-CoA[p] => H+[p] + NADH[p] + 3-oxo-cis-tetradec-5-enoyl-CoA[p]	YKR009C	fatty acid degradation ( sce00071 )
r_2283	acetyl-CoA C-acyltransferase (acetyl-CoA)	coenzyme A[p] + acetoacetyl-CoA[p] => 2 acetyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2284	acetyl-CoA C-acyltransferase (butanoyl-CoA)	coenzyme A[p] + 3-oxohexanoyl-CoA[p] => acetyl-CoA[p] + butanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2285	acetyl-CoA C-acyltransferase (hexanoyl-CoA)	coenzyme A[p] + 3-oxooctanoyl-CoA[p] => acetyl-CoA[p] + hexanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2286	acetyl-CoA C-acyltransferase (stearoyl-CoA)	coenzyme A[p] + 3-oxoicosanoyl-CoA[p] => acetyl-CoA[p] + stearoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2287	acetyl-CoA C-acyltransferase (icosanoyl-CoA)	coenzyme A[p] + 3-oxodocosanoyl-CoA[p] => acetyl-CoA[p] + icosanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2288	acetyl-CoA C-acyltransferase (docosanoyl-CoA)	coenzyme A[p] + 3-oxotetracosanoyl-CoA[p] => acetyl-CoA[p] + docosanoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2289	acetyl-CoA C-acyltransferase (cis-tetradec-7-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-hexadec-9-enoyl-CoA[p] => acetyl-CoA[p] + cis-tetradec-7-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2290	acetyl-CoA C-acyltransferase (cis-dodec-5-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-tetradec-7-enoyl-CoA[p] => acetyl-CoA[p] + cis-dodec-5-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2291	acetyl-CoA C-acyltransferase (cis-dec-3-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-dodec-5-enoyl-CoA[p] => acetyl-CoA[p] + cis-dec-3-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2292	acetyl-CoA C-acyltransferase (cis-hexadec-7-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-octadec-9-enoyl-CoA[p] => acetyl-CoA[p] + cis-hexadec-7-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2293	acetyl-CoA C-acyltransferase (cis-tetradec-5-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-hexadec-7-enoyl-CoA[p] => acetyl-CoA[p] + cis-tetradec-5-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2294	acetyl-CoA C-acyltransferase (cis-dodec-3-enoyl-CoA)	coenzyme A[p] + 3-oxo-cis-tetradec-5-enoyl-CoA[p] => acetyl-CoA[p] + cis-dodec-3-enoyl-CoA[p]	YIL160C	fatty acid degradation ( sce00071 )
r_2295	"delta3,delta2-enoyl-CoA isomerase (cis-dec-3-enoyl-CoA)"	cis-dec-3-enoyl-CoA[p] => 4 H+[p] + trans-dec-2-enoyl-CoA[p]	YLR284C	fatty acid degradation ( sce00071 )
r_2296	"delta3,delta2-enoyl-CoA isomerase (trans-2,cis-5-dodecadienoyl-CoA)"	"trans-2,cis-5-dodecadienoyl-CoA[p] => trans-3,cis-5-dodecadienoyl-CoA[p]"	YLR284C	fatty acid degradation ( sce00071 )
r_2297	"delta3,delta2-enoyl-CoA isomerase (trans-dodec-3-enoyl-CoA)"	trans-dodec-3-enoyl-CoA[p] => 4 H+[p] + trans-dodec-2-enoyl-CoA[p]	YLR284C	fatty acid degradation ( sce00071 )
r_2298	"delta3,delta2-enoyl-CoA isomerase (cis-dodec-3-enoyl-CoA)"	cis-dodec-3-enoyl-CoA[p] => 4 H+[p] + trans-dodec-2-enoyl-CoA[p]	YLR284C	fatty acid degradation ( sce00071 )
r_2299	"delta3,delta2-enoyl-CoA isomerase (trans-2,cis-5-tetradecadienoyl-CoA)"	"trans-2,cis-5-tetradecadienoyl-CoA[p] => trans-3,cis-5-tetradecadienoyl-CoA[p]"	YLR284C	fatty acid degradation ( sce00071 )
r_2300	"delta3,delta2-enoyl-CoA isomerase (trans-tetradec-3-enoyl-CoA)"	trans-tetradec-3-enoyl-CoA[p] => 4 H+[p] + trans-tetradec-2-enoyl-CoA[p]	YLR284C	fatty acid degradation ( sce00071 )
r_2301	"delta(3,5)-delta(2,4)-dienoyl-CoA isomerase (trans-3,cis-5-dodecadienoyl-CoA)"	"trans-3,cis-5-dodecadienoyl-CoA[p] => trans-2,trans-4-dodecadienoyl-CoA[p]"	YOR180C	fatty acid degradation ( sce00071 )
r_2302	"delta(3,5)-delta(2,4)-dienoyl-CoA isomerase (trans-3,cis-5-tetradecadienoyl-CoA)"	"trans-3,cis-5-tetradecadienoyl-CoA[p] => trans-2,trans-4-tetradecadienoyl-CoA[p]"	YOR180C	fatty acid degradation ( sce00071 )
r_2303	"2,4-dienoyl-CoA reductase (trans-2,trans-4-dodecadienoyl-CoA)"	"H+[p] + NADPH[p] + trans-2,trans-4-dodecadienoyl-CoA[p] => NADP(+)[p] + trans-dodec-3-enoyl-CoA[p]"	YNL202W	other
r_2304	"2,4-dienoyl-CoA reductase (trans-2,trans-4-tetradecadienoyl-CoA)"	"H+[p] + NADPH[p] + trans-2,trans-4-tetradecadienoyl-CoA[p] => NADP(+)[p] + trans-tetradec-3-enoyl-CoA[p]"	YNL202W	other
r_2305	cis-aconitate(3-) to isocitrate	cis-aconitate[c] + H2O[c] <=> isocitrate[c]	YLR304C	citrate cycle (tca cycle) ( sce00020 )
r_2308	"glycerol-3-phosphate acyltransferase (16:0), ER membrane"	2 H+[erm] + palmitoyl-CoA[erm] + glycerol 3-phosphate[erm] => coenzyme A[erm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[erm]	YBL011W or YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2309	"glycerol-3-phosphate acyltransferase (16:1), ER membrane"	2 H+[erm] + palmitoleoyl-CoA(4-)[erm] + glycerol 3-phosphate[erm] => coenzyme A[erm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[erm]	YBL011W or YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2310	"glycerol-3-phosphate acyltransferase (18:0), ER membrane"	2 H+[erm] + stearoyl-CoA[erm] + glycerol 3-phosphate[erm] => coenzyme A[erm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[erm]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2311	"glycerol-3-phosphate acyltransferase (18:1), ER membrane"	2 H+[erm] + oleoyl-CoA[erm] + glycerol 3-phosphate[erm] => coenzyme A[erm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[erm]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2312	"dihydroxyacetone phosphate acyltransferase (16:0), ER membrane"	2 H+[erm] + palmitoyl-CoA[erm] + dihydroxyacetone phosphate[erm] => coenzyme A[erm] + acylglycerone phosphate (16:0)[erm]	YBL011W or YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2313	"dihydroxyacetone phosphate acyltransferase (16:1), ER membrane"	2 H+[erm] + palmitoleoyl-CoA(4-)[erm] + dihydroxyacetone phosphate[erm] => coenzyme A[erm] + acylglycerone phosphate (16:1)[erm]	YBL011W or YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2314	"dihydroxyacetone phosphate acyltransferase (18:0), ER membrane"	2 H+[erm] + stearoyl-CoA[erm] + dihydroxyacetone phosphate[erm] => coenzyme A[erm] + acylglycerone phosphate (18:0)[erm]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2315	"dihydroxyacetone phosphate acyltransferase (18:1), ER membrane"	2 H+[erm] + oleoyl-CoA[erm] + dihydroxyacetone phosphate[erm] => coenzyme A[erm] + acylglycerone phosphate (18:1)[erm]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2316	"glycerol-3-phosphate acyltransferase (16:0), lipid particle"	glycerol 3-phosphate[lp] + 2 H+[erm] + palmitoyl-CoA[lp] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate (16:0)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2317	"glycerol-3-phosphate acyltransferase (16:1), lipid particle"	glycerol 3-phosphate[lp] + 2 H+[erm] + palmitoleoyl-CoA(4-)[lp] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate (16:1)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2318	"glycerol-3-phosphate acyltransferase (18:0), lipid particle"	glycerol 3-phosphate[lp] + 2 H+[erm] + stearoyl-CoA[lp] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate (18:0)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2319	"glycerol-3-phosphate acyltransferase (18:1), lipid particle"	glycerol 3-phosphate[lp] + 2 H+[erm] + oleoyl-CoA[lp] => coenzyme A[lp] + 1-acyl-sn-glycerol 3-phosphate (18:1)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2320	"dihydroxyacetone phosphate acyltransferase (16:0), lipid particle"	dihydroxyacetone phosphate[lp] + 2 H+[lp] + palmitoyl-CoA[lp] => coenzyme A[lp] + acylglycerone phosphate (16:0)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2321	"dihydroxyacetone phosphate acyltransferase (16:1), lipid particle"	dihydroxyacetone phosphate[lp] + 2 H+[lp] + palmitoleoyl-CoA(4-)[lp] => coenzyme A[lp] + acylglycerone phosphate (16:1)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2322	"dihydroxyacetone phosphate acyltransferase (18:0), lipid particle"	dihydroxyacetone phosphate[lp] + 2 H+[lp] + stearoyl-CoA[lp] => coenzyme A[lp] + acylglycerone phosphate (18:0)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2323	"dihydroxyacetone phosphate acyltransferase (18:1), lipid particle"	dihydroxyacetone phosphate[lp] + 2 H+[lp] + oleoyl-CoA[lp] => coenzyme A[lp] + acylglycerone phosphate (18:1)[lp]	YKR067W	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2324	"acyl dhap reductase (16:0), ER membrane"	H+[erm] + NADPH[erm] + acylglycerone phosphate (16:0)[erm] => NADP(+)[erm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[erm]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2325	"acyl dhap reductase (16:1), ER membrane"	H+[erm] + NADPH[erm] + acylglycerone phosphate (16:1)[erm] => NADP(+)[erm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[erm]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2326	"acyl dhap reductase (18:0), ER membrane"	H+[erm] + NADPH[erm] + acylglycerone phosphate (18:0)[erm] => NADP(+)[erm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[erm]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2327	"acyl dhap reductase (18:1), ER membrane"	H+[erm] + NADPH[erm] + acylglycerone phosphate (18:1)[erm] => NADP(+)[erm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[erm]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2328	"acyl dhap reductase (16:0), lipid particle"	H+[lp] + acylglycerone phosphate (16:0)[lp] + NADPH[lp] => 1-acyl-sn-glycerol 3-phosphate (16:0)[lp] + NADP(+)[lp]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2329	"acyl dhap reductase (16:1), lipid particle"	H+[lp] + acylglycerone phosphate (16:1)[lp] + NADPH[lp] => 1-acyl-sn-glycerol 3-phosphate (16:1)[lp] + NADP(+)[lp]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2330	"acyl dhap reductase (18:0), lipid particle"	H+[lp] + acylglycerone phosphate (18:0)[lp] + NADPH[lp] => 1-acyl-sn-glycerol 3-phosphate (18:0)[lp] + NADP(+)[lp]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2331	"acyl dhap reductase (18:1), lipid particle"	H+[lp] + acylglycerone phosphate (18:1)[lp] + NADPH[lp] => 1-acyl-sn-glycerol 3-phosphate (18:1)[lp] + NADP(+)[lp]	YIL124W	glycerophospholipid metabolism ( sce00564 )
r_2332	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-16:1), ER membrane"	"palmitoleoyl-CoA(4-)[erm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[erm] => coenzyme A[erm] + phosphatidate (1-16:0, 2-16:1)[erm]"	YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2333	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), ER membrane"	"oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (16:0)[erm] => coenzyme A[erm] + phosphatidate (1-16:0, 2-18:1)[erm]"	YDL052C or YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2334	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-16:1), ER membrane"	"palmitoleoyl-CoA(4-)[erm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[erm] => coenzyme A[erm] + phosphatidate (1-16:1, 2-16:1)[erm]"	YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2335	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), ER membrane"	"oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (16:1)[erm] => coenzyme A[erm] + phosphatidate (1-16:1, 2-18:1)[erm]"	YDL052C or YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2336	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-16:1), ER membrane"	"palmitoleoyl-CoA(4-)[erm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[erm] => coenzyme A[erm] + phosphatidate (1-18:0, 2-16:1)[erm]"	YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2337	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-18:1), ER membrane"	"oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (18:0)[erm] => coenzyme A[erm] + phosphatidate (1-18:0, 2-18:1)[erm]"	YDL052C or YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2338	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-16:1), ER membrane"	"palmitoleoyl-CoA(4-)[erm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[erm] => coenzyme A[erm] + phosphatidate (1-18:1, 2-16:1)[erm]"	YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2339	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-18:1), ER membrane"	"oleoyl-CoA[erm] + 1-acyl-sn-glycerol 3-phosphate (18:1)[erm] => coenzyme A[erm] + phosphatidate (1-18:1, 2-18:1)[erm]"	YDL052C or YOR175C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2340	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:0, 2-18:1), lipid particle"	"oleoyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate (16:0)[lp] => coenzyme A[lp] + phosphatidate (1-16:0, 2-18:1)[lp]"	YDL052C or YKR089C or YOR081C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2341	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-16:1, 2-18:1), lipid particle"	"oleoyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate (16:1)[lp] => coenzyme A[lp] + phosphatidate (1-16:1, 2-18:1)[lp]"	YDL052C or YKR089C or YOR081C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2342	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:0, 2-18:1), lipid particle"	"oleoyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate (18:0)[lp] => coenzyme A[lp] + phosphatidate (1-18:0, 2-18:1)[lp]"	YDL052C or YKR089C or YOR081C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2343	"1-acyl-sn-glycerol-3-phosphate acyltransferase (1-18:1, 2-18:1), lipid particle"	"oleoyl-CoA[lp] + 1-acyl-sn-glycerol 3-phosphate (18:1)[lp] => coenzyme A[lp] + phosphatidate (1-18:1, 2-18:1)[lp]"	YDL052C or YKR089C or YOR081C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2344	"PA phosphatase (1-16:0, 2-16:1), ER membrane"	"H2O[erm] + phosphatidate (1-16:0, 2-16:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-16:0, 2-16:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2345	"PA phosphatase (1-16:0, 2-18:1), ER membrane"	"H2O[erm] + phosphatidate (1-16:0, 2-18:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-16:0, 2-18:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2346	"PA phosphatase (1-16:1, 2-16:1), ER membrane"	"H2O[erm] + phosphatidate (1-16:1, 2-16:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-16:1, 2-16:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2347	"PA phosphatase (1-16:1, 2-18:1), ER membrane"	"H2O[erm] + phosphatidate (1-16:1, 2-18:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-16:1, 2-18:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2348	"PA phosphatase (1-18:0, 2-16:1), ER membrane"	"H2O[erm] + phosphatidate (1-18:0, 2-16:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-18:0, 2-16:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2349	"PA phosphatase (1-18:0, 2-18:1), ER membrane"	"H2O[erm] + phosphatidate (1-18:0, 2-18:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-18:0, 2-18:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2350	"PA phosphatase (1-18:1, 2-16:1), ER membrane"	"H2O[erm] + phosphatidate (1-18:1, 2-16:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-18:1, 2-16:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2351	"PA phosphatase (1-18:1, 2-18:1), ER membrane"	"H2O[erm] + phosphatidate (1-18:1, 2-18:1)[erm] => 2 H+[erm] + phosphate[erm] + diglyceride (1-18:1, 2-18:1)[erm]"	YMR165C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2352	"PA phosphatase (1-16:0, 2-16:1), vacuolar membrane"	"phosphatidate (1-16:0, 2-16:1)[vm] + H2O[vm] => phosphate[vm] + diglyceride (1-16:0, 2-16:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2353	"PA phosphatase (1-16:0, 2-18:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-16:0, 2-18:1)[vm] => phosphate[vm] + diglyceride (1-16:0, 2-18:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2354	"PA phosphatase (1-16:1, 2-16:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-16:1, 2-16:1)[vm] => phosphate[vm] + diglyceride (1-16:1, 2-16:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2355	"PA phosphatase (1-16:1, 2-18:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-16:1, 2-18:1)[vm] => phosphate[vm] + diglyceride (1-16:1, 2-18:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2356	"PA phosphatase (1-18:0, 2-16:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-18:0, 2-16:1)[vm] => phosphate[vm] + diglyceride (1-18:0, 2-16:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2357	"PA phosphatase (1-18:0, 2-18:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-18:0, 2-18:1)[vm] => phosphate[vm] + diglyceride (1-18:0, 2-18:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2358	"PA phosphatase (1-18:1, 2-16:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-18:1, 2-16:1)[vm] => phosphate[vm] + diglyceride (1-18:1, 2-16:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2359	"PA phosphatase (1-18:1, 2-18:1), vacuolar membrane"	"H2O[vm] + phosphatidate (1-18:1, 2-18:1)[vm] => phosphate[vm] + diglyceride (1-18:1, 2-18:1)[vm] + 2 H+[vm]"	YDR284C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2360	"PA phosphatase (1-16:0, 2-16:1), Golgi membrane"	"phosphatidate (1-16:0, 2-16:1)[gm] + H2O[gm] => phosphate[gm] + diglyceride (1-16:0, 2-16:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2361	"PA phosphatase (1-16:0, 2-18:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-16:0, 2-18:1)[gm] => phosphate[gm] + diglyceride (1-16:0, 2-18:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2362	"PA phosphatase (1-16:1, 2-16:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-16:1, 2-16:1)[gm] => phosphate[gm] + diglyceride (1-16:1, 2-16:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2363	"PA phosphatase (1-16:1, 2-18:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-16:1, 2-18:1)[gm] => phosphate[gm] + diglyceride (1-16:1, 2-18:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2364	"PA phosphatase (1-18:0, 2-16:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-18:0, 2-16:1)[gm] => phosphate[gm] + diglyceride (1-18:0, 2-16:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2365	"PA phosphatase (1-18:0, 2-18:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-18:0, 2-18:1)[gm] => phosphate[gm] + diglyceride (1-18:0, 2-18:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2366	"PA phosphatase (1-18:1, 2-16:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-18:1, 2-16:1)[gm] => phosphate[gm] + diglyceride (1-18:1, 2-16:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2367	"PA phosphatase (1-18:1, 2-18:1), Golgi membrane"	"H2O[gm] + phosphatidate (1-18:1, 2-18:1)[gm] => phosphate[gm] + diglyceride (1-18:1, 2-18:1)[gm] + 2 H+[gm]"	YDR503C	"glycerolipid metabolism /  glycerophospholipid metabolism ( sce00561,sce00564 )"
r_2368	"diacylglycerol acyltransferase (1-16:0, 2-16:1, 3-16:0), ER membrane"	"palmitoyl-CoA[erm] + diglyceride (1-16:0, 2-16:1)[erm] => coenzyme A[erm] + triglyceride (1-16:0, 2-16:1, 3-16:0)[erm]"	YCR048W or YNR019W or YOR245C	glycerolipid metabolism ( sce00561 )
r_2369	"diacylglycerol acyltransferase (1-16:0, 2-18:1, 3-16:0), ER membrane"	"palmitoyl-CoA[erm] + diglyceride (1-16:0, 2-18:1)[erm] => coenzyme A[erm] + triglyceride (1-16:0, 2-18:1, 3-16:0)[erm]"	YCR048W or YNR019W or YOR245C	glycerolipid metabolism ( sce00561 )
